Company,Product,TypeName,Inches,Ram,OS,Weight,Price,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,ppi,Price_log
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1339.69,Standard,2560,1600,0,1,1,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,226.98300468106115,7.200939685789514
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,Standard,1440,900,0,0,0,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,127.67794013309688,6.802328094435323
HP,250 G6,Notebook,15.6,8,No OS,1.86,575.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,141.21199808219862,6.3561076606958915
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537.45,Standard,2880,1800,0,1,1,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,220.53462386625827,7.839308937522205
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1803.6,Standard,2560,1600,0,1,1,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,226.98300468106115,7.4980942395604
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,400.0,Standard,1366,768,0,0,0,AMD,3.0,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,100.45466986113651,5.993961427306569
Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,Standard,2880,1800,0,1,1,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,220.53462386625827,7.669014276347654
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,1158.7,Standard,1440,900,0,0,0,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,127.67794013309688,7.055916629962658
Asus,ZenBook UX430UN,Ultrabook,14.0,16,Windows 10,1.3,1495.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,157.3505121487356,7.310550158534422
Acer,Swift 3,Ultrabook,14.0,8,Windows 10,1.6,770.0,Full HD,1920,1080,0,1,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,157.3505121487356,6.647688373563329
HP,250 G6,Notebook,15.6,4,No OS,1.86,393.9,Standard,1366,768,0,0,0,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,100.45466986113651,5.978632568292603
HP,250 G6,Notebook,15.6,4,No OS,1.86,344.99,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,141.21199808219862,5.846409872905957
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2439.97,Standard,2880,1800,0,1,1,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,220.53462386625827,7.800150780272373
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,498.9,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,141.21199808219862,6.214408078419525
Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1262.4,Standard,2304,1440,0,1,1,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,226.41554716935852,7.1415617784646
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1518.55,Standard,2560,1600,0,1,1,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,226.98300468106115,7.326169517376512
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745.0,Full HD,1920,1080,0,0,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,141.21199808219862,6.61472560020376
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858.0,Standard,2880,1800,0,1,1,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,220.53462386625827,7.958227192322312
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499.0,Full HD,1920,1080,0,0,0,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,141.21199808219862,6.214608098422191
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979.0,Full HD,1920,1080,1,1,0,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,165.6321180513006,6.887552571664617
Asus,Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,191.9,Standard,1366,768,0,0,0,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,135.0942111925629,5.262171919911683
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999.0,Full HD,1920,1080,0,1,0,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,141.21199808219862,6.907755278982137
HP,255 G6,Notebook,15.6,4,No OS,1.86,258.0,Standard,1366,768,0,0,0,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,100.45466986113651,5.556828061699537
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,Full HD,1920,1080,1,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,165.6321180513006,6.709304340258298
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,141.21199808219862,6.492239835020471
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,418.64,Standard,1366,768,0,0,0,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,100.45466986113651,6.039397200863284
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,Standard,1440,900,0,0,0,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,127.67794013309688,7.003065458786462
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,800.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,141.21199808219862,6.68586094706836
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298.0,Full HD,1920,1080,0,0,0,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,141.21199808219862,7.1693500166706
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,896.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,127.33567457123111,6.799055862058796
Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,Full HD,1920,1080,0,0,0,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,141.21199808219862,5.505290884699608
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,Windows 10,1.65,199.0,Standard,1366,768,0,0,0,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,111.93520355955211,5.298317366548036
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439.0,Full HD,1920,1080,0,0,0,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,127.33567457123111,6.0867747269123065
Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869.0,Quad HD+,3200,1800,1,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,276.053530085501,7.533693709848633
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998.0,Standard,1440,900,0,0,0,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,127.67794013309688,6.906754778648554
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Windows 10,1.44,249.0,Standard,1366,768,0,0,0,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,111.93520355955211,5.521460917862246
Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,367.0,Standard,1366,768,0,0,0,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,100.45466986113651,5.908082938168931
